member_id,acquisition_channel,health_goal,rebill_day30,rebill_day60,rebill_day90,cancelled,ltv_day90
M00000,direct_shop,unknown,0,0,0,1,46.22
M00001,organic_search,unknown,1,1,1,0,200.47
M00002,paid_social,unknown,1,0,0,0,101.12
M00003,direct_shop,unknown,1,1,1,0,202.05
M00004,quiz,gut,1,0,0,0,105.72
M00005,quiz,gut,0,0,0,1,43.47
M00006,quiz,sleep,1,0,0,0,99.78
M00007,organic_search,unknown,0,0,0,1,53.57
M00008,direct_shop,unknown,1,1,1,0,199.59
M00009,paid_social,unknown,1,1,1,0,192.95
M00010,quiz,gut,1,0,0,0,96.11
M00011,organic_search,unknown,1,0,0,0,100.97
M00012,paid_social,unknown,0,0,0,1,50.87
M00013,quiz,gut,0,0,0,1,52.01
M00014,quiz,energy,1,0,0,1,97.64
M00015,quiz,gut,1,1,1,0,200.74
M00016,quiz,energy,1,0,0,0,97.14
M00017,direct_shop,unknown,1,1,0,0,150.75
M00018,direct_shop,unknown,1,1,0,0,150.13
M00019,quiz,gut,1,1,0,0,147.51
M00020,direct_shop,unknown,1,1,0,0,154.64
M00021,quiz,gut,0,0,0,1,44.87
M00022,quiz,gut,1,1,1,0,199.54
M00023,direct_shop,unknown,1,1,1,0,197.43
M00024,direct_shop,unknown,0,0,0,1,55.49
M00025,paid_social,unknown,1,1,1,0,201.76
M00026,quiz,gut,0,0,0,1,48.04
M00027,direct_shop,unknown,1,1,0,0,149.13
M00028,direct_shop,unknown,1,1,1,0,205.54
M00029,quiz,sleep,1,1,1,0,197.12
M00030,direct_shop,unknown,1,1,0,0,144.68
M00031,quiz,gut,0,0,0,1,50.86
M00032,quiz,energy,0,0,0,1,50.93
M00033,organic_search,unknown,0,0,0,1,51.99
M00034,organic_search,unknown,1,0,0,1,102.0
M00035,paid_social,unknown,0,0,0,1,55.3
M00036,quiz,gut,0,0,0,1,44.84
M00037,quiz,gut,0,0,0,1,46.38
M00038,paid_social,unknown,0,0,0,1,51.98
M00039,direct_shop,unknown,1,1,1,0,196.64
M00040,quiz,sleep,1,1,0,0,145.6
M00041,direct_shop,unknown,0,0,0,1,55.59
M00042,quiz,gut,1,0,0,0,95.12
M00043,organic_search,unknown,0,0,0,1,48.94
M00044,quiz,energy,0,0,0,1,49.81
M00045,paid_social,unknown,1,0,0,0,103.91
M00046,quiz,sleep,1,1,0,0,144.36
M00047,direct_shop,unknown,1,0,0,0,101.23
M00048,direct_shop,unknown,1,1,0,0,147.3
M00049,quiz,energy,1,1,1,0,201.84
M00050,organic_search,unknown,1,0,0,1,97.26
M00051,paid_social,unknown,1,1,1,0,204.68
M00052,organic_search,unknown,0,0,0,1,47.29
M00053,organic_search,unknown,0,0,0,1,42.6
M00054,direct_shop,unknown,1,1,1,0,197.59
M00055,organic_search,unknown,1,0,0,1,99.2
M00056,quiz,sleep,1,1,0,0,153.22
M00057,quiz,gut,0,0,0,1,46.21
M00058,quiz,gut,1,0,0,1,96.26
M00059,quiz,gut,1,0,0,0,102.86
M00060,direct_shop,unknown,0,0,0,1,45.86
M00061,quiz,energy,1,1,0,0,149.43
M00062,paid_social,unknown,1,1,1,0,199.48
M00063,direct_shop,unknown,0,0,0,1,50.64
M00064,quiz,sleep,1,1,0,0,147.72
M00065,direct_shop,unknown,1,1,1,0,197.18
M00066,quiz,gut,1,1,1,0,200.96
M00067,paid_social,unknown,0,0,0,1,47.3
M00068,quiz,energy,1,0,0,0,95.9
